MUSEUM,MATCHADDRESS,LATITUDE,LONGITUDE,ID,status,stat_point,Station_Name,approx_distance_miles
L. Ron Hubbard House,1812 19TH STREET NW,38.91458854,-77.04373354,240991,active,POINT(-77.04564 38.912644),Connecticut Ave & R St NW,0.16902185462692657
Luther W. Brady Art Gallery,805 21ST STREET NW,38.89980986,-77.04638644,240947,active,POINT(-77.048911 38.90088),22nd & I St NW / Foggy Bottom,0.1546124112870132
Luther W. Brady Art Gallery,805 21ST STREET NW,38.89980986,-77.04638644,240947,active,POINT(-77.0464485883713 38.9007106254746),21st & I St NW,0.06233995779108664
Luther W. Brady Art Gallery,805 21ST STREET NW,38.89980986,-77.04638644,240947,active,POINT(-77.0488523839595 38.8989254671684),22nd & H St NW,0.14603229844976495
Luther W. Brady Art Gallery,805 21ST STREET NW,38.89980986,-77.04638644,240947,active,POINT(-77.046564 38.901539),21st St & Pennsylvania Ave NW,0.11987873050785806
Mary Bethune Council House,1318 VERMONT AVENUE NW,38.90816835,-77.03086335,225385,active,POINT(-77.0323 38.9086),14th & Rhode Island Ave NW,0.08281722131910647
Mary Bethune Council House,1318 VERMONT AVENUE NW,38.90816835,-77.03086335,225385,active,POINT(-77.0325 38.9059),Thomas Circle,0.17978007173567165
Mexican Cultural Institute,2829 16TH STREET NW,38.92554484,-77.03603436,235878,active,POINT(-77.036536 38.926088),16th & Harvard St NW,0.04622106679482566
Mexican Cultural Institute,2829 16TH STREET NW,38.92554484,-77.03603436,235878,active,POINT(-77.0352 38.92333),15th & Euclid St  NW,0.15950170423269025
Museum of the Bible,400 4TH STREET SW,38.884831,-77.017138,311513,active,POINT(-77.0177006721497 38.8863719405453),4th & C St SW,0.11070970896712254
Museum of the Bible,400 4TH STREET SW,38.884831,-77.017138,311513,active,POINT(-77.017445 38.88412),4th & E St SW,0.05183709798238451
National Air and Space Museum,NATIONAL AIR AND SPACE MUSEUM,38.88820497,-77.01984769,301565,active,POINT(-77.0177006721497 38.8863719405453),4th & C St SW,0.17142331310130526
National Air and Space Museum,NATIONAL AIR AND SPACE MUSEUM,38.88820497,-77.01984769,301565,active,POINT(-77.022241 38.886266),L'Enfant Plaza / 7th & C St SW,0.18582327977827862
