,station_id,num_bikes_available,num_docks_available,num_ebikes_available,num_bikes_disabled,num_docks_disabled,last_reported,is_renting,is_returning,last_updated_date
315,334,15,7,1,1,0,1596113469,1,1,2020-07-30 08:29:15
316,335,11,3,0,1,0,1596112034,1,1,2020-07-30 08:29:15
317,336,14,5,3,0,0,1596115147,1,1,2020-07-30 08:29:15
318,337,5,10,0,0,0,1596113985,1,1,2020-07-30 08:29:15
319,338,10,1,0,0,0,1596108325,1,1,2020-07-30 08:29:15
320,339,9,10,0,0,0,1596115141,1,1,2020-07-30 08:29:15
321,340,3,8,0,0,0,1596113088,1,1,2020-07-30 08:29:15
322,341,2,13,0,0,0,1596113296,1,1,2020-07-30 08:29:15
323,342,15,0,0,0,0,1596107953,1,1,2020-07-30 08:29:15
324,343,5,10,0,0,0,1596111274,1,1,2020-07-30 08:29:15
325,344,5,16,0,0,0,1596114848,1,1,2020-07-30 08:29:15
326,345,2,13,0,0,0,1596099348,1,1,2020-07-30 08:29:15
327,346,2,12,1,1,0,1596115082,1,1,2020-07-30 08:29:15
328,347,2,16,0,0,0,1596114150,1,1,2020-07-30 08:29:15
329,348,6,17,1,0,0,1596114029,1,1,2020-07-30 08:29:15
330,349,28,3,0,0,0,1596114319,1,1,2020-07-30 08:29:15
331,350,2,13,1,0,0,1596099348,1,1,2020-07-30 08:29:15
332,351,12,7,1,0,0,1596115387,1,1,2020-07-30 08:29:15
333,352,13,2,1,0,0,1596114911,1,1,2020-07-30 08:29:15
334,353,10,13,0,0,0,1596113863,1,1,2020-07-30 08:29:15
335,354,10,5,0,0,0,1596109626,1,1,2020-07-30 08:29:15
336,355,0,15,0,0,0,1596112325,1,1,2020-07-30 08:29:15
337,356,8,6,1,0,0,1596115282,1,1,2020-07-30 08:29:15
338,357,18,4,1,1,0,1596112269,1,1,2020-07-30 08:29:15
339,358,3,16,0,0,0,1596114287,1,1,2020-07-30 08:29:15
340,359,8,7,0,0,0,1596113425,1,1,2020-07-30 08:29:15
341,364,5,6,0,0,0,1596098721,1,1,2020-07-30 08:29:15
342,365,6,13,0,0,0,1596113347,1,1,2020-07-30 08:29:15
343,367,17,6,2,0,0,1596114595,1,1,2020-07-30 08:29:15
344,368,2,13,1,0,0,1596113344,1,1,2020-07-30 08:29:15
345,369,14,8,0,1,0,1596114313,1,1,2020-07-30 08:29:15
346,370,14,5,0,0,0,1596115400,1,1,2020-07-30 08:29:15
347,371,7,12,4,0,0,1596112550,1,1,2020-07-30 08:29:15
348,373,17,2,1,0,0,1596112618,1,1,2020-07-30 08:29:15
349,374,6,13,0,0,0,1596115752,1,1,2020-07-30 08:29:15
350,375,12,11,3,0,0,1596113133,1,1,2020-07-30 08:29:15
351,376,1,18,1,0,0,1596099350,1,1,2020-07-30 08:29:15
352,377,8,7,0,0,0,1596115659,1,1,2020-07-30 08:29:15
353,378,9,5,0,0,0,1596111100,1,1,2020-07-30 08:29:15
354,379,5,13,1,0,0,1596115462,1,1,2020-07-30 08:29:15
355,380,11,4,0,0,0,1596110057,1,1,2020-07-30 08:29:15
356,381,12,3,0,0,0,1596110070,1,1,2020-07-30 08:29:15
357,382,13,2,0,0,0,1596099350,1,1,2020-07-30 08:29:15
358,383,0,19,0,0,0,1596099349,1,1,2020-07-30 08:29:15
359,384,5,6,0,0,0,1596113721,1,1,2020-07-30 08:29:15
360,385,1,17,0,0,1,1596079911,1,1,2020-07-30 08:29:15
361,386,3,14,0,2,0,1596113401,1,1,2020-07-30 08:29:15
362,387,1,18,0,0,0,1596114661,1,1,2020-07-30 08:29:15
363,388,6,9,0,0,0,1596069047,1,1,2020-07-30 08:29:15
364,389,2,9,2,0,0,1596111839,1,1,2020-07-30 08:29:15
365,390,16,1,0,2,0,1596114600,1,1,2020-07-30 08:29:15
