,museum,address,longitude,latitude,ID,mus_point,station_id,name,region_id,capacity_x,lat,lon,station_status___1_,stat_point,closest,approx_distance_miles,Station_Name,num_bikes_available,num_docks_available,num_ebikes_available,capacity_y,station_lat,station_lon,last_updated_date,avlb_bikes,avlb_docks
27,Daughters of the American Revolution Museum,1776 D STREET NW,-77.03999645,38.89395841,279384,POINT(-77.03999645 38.89395841),41,19th & E Street NW,42.0,11,38.8952,-77.0436,active,POINT(-77.0436 38.8952),True,0.21196760060421174,19th & E Street NW,7,4,0,11,38.8952,-77.0436,2020-08-17 09:03:05,True,True
28,Interior Museum,1849 C STREET NW,-77.04260027,38.89444538,293214,POINT(-77.04260027 38.89444538),41,19th & E Street NW,42.0,11,38.8952,-77.0436,active,POINT(-77.0436 38.8952),True,0.07490752390696834,19th & E Street NW,7,4,0,11,38.8952,-77.0436,2020-08-17 09:03:05,True,True
29,American Red Cross Museum,430 17TH STREET NW,-77.04020477,38.89481909,300987,POINT(-77.04020477 38.89481909),349,17th & G St NW,42.0,31,38.89829964921176,-77.03973233699799,active,POINT(-77.039732336998 38.8982996492118),True,0.2418736325779417,17th & G St NW,9,22,0,31,38.89829964921176,-77.03973233699799,2020-08-17 09:03:05,True,True
30,Corcoran Gallery of Art,500 17TH STREET NW,-77.03974044,38.89584701,279802,POINT(-77.03974044 38.89584701),349,17th & G St NW,42.0,31,38.89829964921176,-77.03973233699799,active,POINT(-77.039732336998 38.8982996492118),True,0.16949805272348015,17th & G St NW,9,22,0,31,38.89829964921176,-77.03973233699799,2020-08-17 09:03:05,True,True
31,Daughters of the American Revolution Museum,1776 D STREET NW,-77.03999645,38.89395841,279384,POINT(-77.03999645 38.89395841),349,17th & G St NW,42.0,31,38.89829964921176,-77.03973233699799,active,POINT(-77.039732336998 38.8982996492118),True,0.3003513721265205,17th & G St NW,9,22,0,31,38.89829964921176,-77.03973233699799,2020-08-17 09:03:05,True,True
32,Decatur House Museum,748 JACKSON PLACE NW,-77.03819661,38.90002633,293257,POINT(-77.03819661 38.90002633),349,17th & G St NW,42.0,31,38.89829964921176,-77.03973233699799,active,POINT(-77.039732336998 38.8982996492118),True,0.14512540634771556,17th & G St NW,9,22,0,31,38.89829964921176,-77.03973233699799,2020-08-17 09:03:05,True,True
33,American Red Cross Museum,430 17TH STREET NW,-77.04020477,38.89481909,300987,POINT(-77.04020477 38.89481909),109,19th St & Constitution Ave NW,42.0,35,38.8923,-77.0436,active,POINT(-77.0436 38.8923),True,0.2523055913686001,19th St & Constitution Ave NW,30,3,0,35,38.8923,-77.0436,2020-08-17 09:03:05,True,True
34,Daughters of the American Revolution Museum,1776 D STREET NW,-77.03999645,38.89395841,279384,POINT(-77.03999645 38.89395841),109,19th St & Constitution Ave NW,42.0,35,38.8923,-77.0436,active,POINT(-77.0436 38.8923),True,0.22517738267013673,19th St & Constitution Ave NW,30,3,0,35,38.8923,-77.0436,2020-08-17 09:03:05,True,True
35,Interior Museum,1849 C STREET NW,-77.04260027,38.89444538,293214,POINT(-77.04260027 38.89444538),109,19th St & Constitution Ave NW,42.0,35,38.8923,-77.0436,active,POINT(-77.0436 38.8923),True,0.15771370077096725,19th St & Constitution Ave NW,30,3,0,35,38.8923,-77.0436,2020-08-17 09:03:05,True,True
36,American Red Cross Museum,430 17TH STREET NW,-77.04020477,38.89481909,300987,POINT(-77.04020477 38.89481909),206,20th St & Virginia Ave NW,42.0,15,38.894721999999994,-77.045128,active,POINT(-77.045128 38.894722),True,0.26489050586272805,20th St & Virginia Ave NW,3,10,0,15,38.894722,-77.045128,2020-08-17 09:03:05,True,True
37,Daughters of the American Revolution Museum,1776 D STREET NW,-77.03999645,38.89395841,279384,POINT(-77.03999645 38.89395841),206,20th St & Virginia Ave NW,42.0,15,38.894721999999994,-77.045128,active,POINT(-77.045128 38.894722),True,0.2810113482255591,20th St & Virginia Ave NW,3,10,0,15,38.894722,-77.045128,2020-08-17 09:03:05,True,True
38,Interior Museum,1849 C STREET NW,-77.04260027,38.89444538,293214,POINT(-77.04260027 38.89444538),206,20th St & Virginia Ave NW,42.0,15,38.894721999999994,-77.045128,active,POINT(-77.045128 38.894722),True,0.13729662468773182,20th St & Virginia Ave NW,3,10,0,15,38.894722,-77.045128,2020-08-17 09:03:05,True,True
39,Anderson House,2118 MASSACHUSETTS AVENUE NW,-77.04770288,38.91071637,293220,POINT(-77.04770288 38.91071637),394,22nd & P ST NW,42.0,19,38.909394,-77.048728,active,POINT(-77.048728 38.909394),True,0.10672587495588627,22nd & P ST NW,11,8,0,19,38.909394,-77.048728,2020-08-17 09:03:05,True,True
40,Dumbarton House,2715 Q STREET NW,-77.05586536,38.91085356,273151,POINT(-77.05586536 38.91085356),394,22nd & P ST NW,42.0,19,38.909394,-77.048728,active,POINT(-77.048728 38.909394),True,0.3968466982431239,22nd & P ST NW,11,8,0,19,38.909394,-77.048728,2020-08-17 09:03:05,True,True
41,Heurich House Museum,1307 NEW HAMPSHIRE AVENUE NW,-77.04460391,38.90802275,241060,POINT(-77.04460391 38.90802275),394,22nd & P ST NW,42.0,19,38.909394,-77.048728,active,POINT(-77.048728 38.909394),True,0.2411765203216335,22nd & P ST NW,11,8,0,19,38.909394,-77.048728,2020-08-17 09:03:05,True,True
42,O Street Museum,2020 O STREET NW,-77.04592519,38.90838357,243057,POINT(-77.04592519 38.90838357),394,22nd & P ST NW,42.0,19,38.909394,-77.048728,active,POINT(-77.048728 38.909394),True,0.16611442155544273,22nd & P ST NW,11,8,0,19,38.909394,-77.048728,2020-08-17 09:03:05,True,True
43,Woodrow Wilson House,2340 S STREET NW,-77.05170373,38.91385408,218994,POINT(-77.05170373 38.91385408),394,22nd & P ST NW,42.0,19,38.909394,-77.048728,active,POINT(-77.048728 38.909394),True,0.3472897307785693,22nd & P ST NW,11,8,0,19,38.909394,-77.048728,2020-08-17 09:03:05,True,True
44,Anderson House,2118 MASSACHUSETTS AVENUE NW,-77.04770288,38.91071637,293220,POINT(-77.04770288 38.91071637),485,Connecticut Ave & R St NW,42.0,19,38.912644,-77.04564,active,POINT(-77.04564 38.912644),True,0.17335404300005133,Connecticut Ave & R St NW,17,2,1,19,38.912644,-77.04564,2020-08-17 09:03:05,True,False
45,L. Ron Hubbard House,1812 19TH STREET NW,-77.04373354,38.91458854,240991,POINT(-77.04373354 38.91458854),485,Connecticut Ave & R St NW,42.0,19,38.912644,-77.04564,active,POINT(-77.04564 38.912644),True,0.16902185462692654,Connecticut Ave & R St NW,17,2,1,19,38.912644,-77.04564,2020-08-17 09:03:05,True,False
46,National Museum of American Jewish Military History,1811 R STREET NW,-77.04211348,38.91281314,243292,POINT(-77.04211348 38.91281314),485,Connecticut Ave & R St NW,42.0,19,38.912644,-77.04564,active,POINT(-77.04564 38.912644),True,0.18999268676120992,Connecticut Ave & R St NW,17,2,1,19,38.912644,-77.04564,2020-08-17 09:03:05,True,False
47,O Street Museum,2020 O STREET NW,-77.04592519,38.90838357,243057,POINT(-77.04592519 38.90838357),485,Connecticut Ave & R St NW,42.0,19,38.912644,-77.04564,active,POINT(-77.04564 38.912644),True,0.29482980550763355,Connecticut Ave & R St NW,17,2,1,19,38.912644,-77.04564,2020-08-17 09:03:05,True,False
