MUSEUM,MATCHADDRESS,LATITUDE,LONGITUDE,ID,mus_point,region_id,capacity,lat,lon,num_bikes_available,status,stat_point,Station_Name,closest,approx_distance_miles
German-American Heritage Museum,719 6TH STREET NW,38.89910316,-77.0195865,238949,POINT(-77.0195865 38.89910316),42,31,38.897222,-77.019347,5,active,POINT(-77.019347 38.897222),5th & F St NW,true,0.130640203799722
German-American Heritage Museum,719 6TH STREET NW,38.89910316,-77.0195865,238949,POINT(-77.0195865 38.89910316),42,19,38.90093,-77.018677,10,active,POINT(-77.018677 38.90093),5th St & Massachusetts Ave NW,true,0.1353946346351128
Heurich House Museum,1307 NEW HAMPSHIRE AVENUE NW,38.90802275,-77.04460391,241060,POINT(-77.04460391 38.90802275),42,45,38.9101,-77.0444,39,active,POINT(-77.0444 38.9101),Massachusetts Ave & Dupont Circle NW,true,0.1439732097945434
Heurich House Museum,1307 NEW HAMPSHIRE AVENUE NW,38.90802275,-77.04460391,241060,POINT(-77.04460391 38.90802275),42,19,38.908905,-77.04478,5,active,POINT(-77.04478 38.908905),20th & O St NW / Dupont South,true,0.06170169899798156
Hirshhorn Museum and Sculpture Garden,,38.888407,-77.022961,294428,POINT(-77.022961 38.888407),42,15,38.887312,-77.025762,10,active,POINT(-77.025762 38.887312),Independence Ave & L'Enfant Plaza SW/DOE,true,0.16860752468036244
Hirshhorn Museum and Sculpture Garden,,38.888407,-77.022961,294428,POINT(-77.022961 38.888407),42,15,38.886266,-77.022241,14,active,POINT(-77.022241 38.886266),L'Enfant Plaza / 7th & C St SW,true,0.15294581512358082
Historical Society of Washington DC,801 K STREET NW,38.90262211,-77.02294275,238956,POINT(-77.02294275 38.90262211),42,19,38.902674,-77.021392,16,active,POINT(-77.021392 38.902674),7th & K St NW,true,0.08347791559106492
Historical Society of Washington DC,801 K STREET NW,38.90262211,-77.02294275,238956,POINT(-77.02294275 38.90262211),42,23,38.9024,-77.02622,20,active,POINT(-77.02622 38.9024),10th & K St NW,true,0.17692118182036767
House of the Temple,1733 16TH STREET NW,38.91369256,-77.03582659,242883,POINT(-77.03582659 38.91369256),42,23,38.91554,-77.03818,16,active,POINT(-77.03818 38.91554),New Hampshire Ave & T St NW,true,0.17976288873774418
House of the Temple,1733 16TH STREET NW,38.91369256,-77.03582659,242883,POINT(-77.03582659 38.91369256),42,19,38.912652,-77.036278,11,active,POINT(-77.036278 38.912652),16th & R St NW,true,0.07589754091215266
