,museum,address,longitude,latitude,ID,mus_point,station_id,name,region_id,capacity_x,lat,lon,station_status___1_,stat_point,Station_Name_x,closest,approx_distance_miles,Station_Name_y,num_bikes_available,num_docks_available,num_ebikes_available,capacity_y,station_lat,station_lon,last_updated_date,avlb_bikes,avlb_docks
28,Whittemore House,1526 NEW HAMPSHIRE AVENUE NW,-77.04266708,38.91093038,225724,POINT(-77.04266708 38.91093038),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,1.3690295917826016,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
29,O Street Museum,2020 O STREET NW,-77.04592519,38.90838357,243057,POINT(-77.04592519 38.90838357),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,1.3724365051335594,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
30,African American Civil War Memorial Museum,1925 VERMONT AVENUE NW,-77.02536383,38.91643609,310615,POINT(-77.02536383 38.91643609),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,1.4187445566210526,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
31,African American Civil War Memorial Museum,1925 VERMONT AVENUE NW,-77.02536383,38.91643609,310615,POINT(-77.02536383 38.91643609),274,10th & Florida Ave NW,42.0,19,38.920387,-77.025672,active,POINT(-77.025672 38.920387),10th & Florida Ave NW,True,0.27354262667359763,10th & Florida Ave NW,8,11,0,19,38.920387,-77.025672,2020-08-18 12:55:50,True,True
32,Howard University Museum,500 HOWARD PLACE NW,-77.0196969,38.92235277,243398,POINT(-77.0196969 38.92235277),274,10th & Florida Ave NW,42.0,19,38.920387,-77.025672,active,POINT(-77.025672 38.920387),10th & Florida Ave NW,True,0.34880469351767374,10th & Florida Ave NW,8,11,0,19,38.920387,-77.025672,2020-08-18 12:55:50,True,True
33,Howard University Gallery of Art,2455 6TH STREET NW,-77.02098138,38.92452904,188381,POINT(-77.02098138 38.92452904),274,10th & Florida Ave NW,42.0,19,38.920387,-77.025672,active,POINT(-77.025672 38.920387),10th & Florida Ave NW,True,0.3814985631689405,10th & Florida Ave NW,8,11,0,19,38.920387,-77.025672,2020-08-18 12:55:50,True,True
34,Mexican Cultural Institute,2829 16TH STREET NW,-77.03603436,38.92554484,235878,POINT(-77.03603436 38.92554484),274,10th & Florida Ave NW,42.0,19,38.920387,-77.025672,active,POINT(-77.025672 38.920387),10th & Florida Ave NW,True,0.6614069083941765,10th & Florida Ave NW,8,11,0,19,38.920387,-77.025672,2020-08-18 12:55:50,True,True
35,Meridian International Center,1630 CRESCENT PLACE NW,-77.0381824,38.92021925,235803,POINT(-77.0381824 38.92021925),274,10th & Florida Ave NW,42.0,19,38.920387,-77.025672,active,POINT(-77.025672 38.920387),10th & Florida Ave NW,True,0.6727541394810121,10th & Florida Ave NW,8,11,0,19,38.920387,-77.025672,2020-08-18 12:55:50,True,True
36,House of the Temple,1733 16TH STREET NW,-77.03582659,38.91369256,242883,POINT(-77.03582659 38.91369256),274,10th & Florida Ave NW,42.0,19,38.920387,-77.025672,active,POINT(-77.025672 38.920387),10th & Florida Ave NW,True,0.7156582590475179,10th & Florida Ave NW,8,11,0,19,38.920387,-77.025672,2020-08-18 12:55:50,True,True
37,Mary Bethune Council House,1318 VERMONT AVENUE NW,-77.03086335,38.90816835,225385,POINT(-77.03086335 38.90816835),274,10th & Florida Ave NW,42.0,19,38.920387,-77.025672,active,POINT(-77.025672 38.920387),10th & Florida Ave NW,True,0.8893544336070281,10th & Florida Ave NW,8,11,0,19,38.920387,-77.025672,2020-08-18 12:55:50,True,True
38,U.S. Daughters of 1812 Library and Museum,1463 RHODE ISLAND AVENUE NW,-77.03415685,38.90835625,240224,POINT(-77.03415685 38.90835625),274,10th & Florida Ave NW,42.0,19,38.920387,-77.025672,active,POINT(-77.025672 38.920387),10th & Florida Ave NW,True,0.948381519638774,10th & Florida Ave NW,8,11,0,19,38.920387,-77.025672,2020-08-18 12:55:50,True,True
39,The History of Cannabis  ,3626 GEORGIA AVENUE NW,-77.02433,38.934824,232148,POINT(-77.02433 38.934824),274,10th & Florida Ave NW,42.0,19,38.920387,-77.025672,active,POINT(-77.025672 38.920387),10th & Florida Ave NW,True,1.000320425924049,10th & Florida Ave NW,8,11,0,19,38.920387,-77.025672,2020-08-18 12:55:50,True,True
40,National Museum of American Jewish Military History,1811 R STREET NW,-77.04211348,38.91281314,243292,POINT(-77.04211348 38.91281314),274,10th & Florida Ave NW,42.0,19,38.920387,-77.025672,active,POINT(-77.025672 38.920387),10th & Florida Ave NW,True,1.0273924925207405,10th & Florida Ave NW,8,11,0,19,38.920387,-77.025672,2020-08-18 12:55:50,True,True
41,L. Ron Hubbard House,1812 19TH STREET NW,-77.04373354,38.91458854,240991,POINT(-77.04373354 38.91458854),274,10th & Florida Ave NW,42.0,19,38.920387,-77.025672,active,POINT(-77.025672 38.920387),10th & Florida Ave NW,True,1.0505891236178304,10th & Florida Ave NW,8,11,0,19,38.920387,-77.025672,2020-08-18 12:55:50,True,True
42,Whittemore House,1526 NEW HAMPSHIRE AVENUE NW,-77.04266708,38.91093038,225724,POINT(-77.04266708 38.91093038),274,10th & Florida Ave NW,42.0,19,38.920387,-77.025672,active,POINT(-77.025672 38.920387),10th & Florida Ave NW,True,1.1234826980775647,10th & Florida Ave NW,8,11,0,19,38.920387,-77.025672,2020-08-18 12:55:50,True,True
43,The Wilderness Society - Ansel Adams Collection,1615 M STREET NW,-77.03735337,38.90585437,301103,POINT(-77.03735337 38.90585437),274,10th & Florida Ave NW,42.0,19,38.920387,-77.025672,active,POINT(-77.025672 38.920387),10th & Florida Ave NW,True,1.1845801279359367,10th & Florida Ave NW,8,11,0,19,38.920387,-77.025672,2020-08-18 12:55:50,True,True
44,Charles Sumner School,1201 17TH STREET NW,-77.03823126,38.90596805,301200,POINT(-77.03823126 38.90596805),274,10th & Florida Ave NW,42.0,19,38.920387,-77.025672,active,POINT(-77.025672 38.920387),10th & Florida Ave NW,True,1.2037626116802322,10th & Florida Ave NW,8,11,0,19,38.920387,-77.025672,2020-08-18 12:55:50,True,True
45,Heurich House Museum,1307 NEW HAMPSHIRE AVENUE NW,-77.04460391,38.90802275,241060,POINT(-77.04460391 38.90802275),274,10th & Florida Ave NW,42.0,19,38.920387,-77.025672,active,POINT(-77.025672 38.920387),10th & Florida Ave NW,True,1.3290850814237225,10th & Florida Ave NW,8,11,0,19,38.920387,-77.025672,2020-08-18 12:55:50,True,True
46,Anderson House,2118 MASSACHUSETTS AVENUE NW,-77.04770288,38.91071637,293220,POINT(-77.04770288 38.91071637),274,10th & Florida Ave NW,42.0,19,38.920387,-77.025672,active,POINT(-77.025672 38.920387),10th & Florida Ave NW,True,1.3601442978479863,10th & Florida Ave NW,8,11,0,19,38.920387,-77.025672,2020-08-18 12:55:50,True,True
47,O Street Museum,2020 O STREET NW,-77.04592519,38.90838357,243057,POINT(-77.04592519 38.90838357),274,10th & Florida Ave NW,42.0,19,38.920387,-77.025672,active,POINT(-77.025672 38.920387),10th & Florida Ave NW,True,1.3690043216386982,10th & Florida Ave NW,8,11,0,19,38.920387,-77.025672,2020-08-18 12:55:50,True,True
48,Petersen House,516 10TH STREET NW,-77.02619882,38.89676807,239374,POINT(-77.02619882 38.89676807),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.101968695992917,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
49,Ford's Theatre,511 10TH STREET NW,-77.02579655,38.89658294,239829,POINT(-77.02579655 38.89658294),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.11714686279003016,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
50,National Portrait Gallery,,-77.022972,38.898181,294248,POINT(-77.022972 38.898181),334,10th & G St NW,42.0,23,38.89824328774852,-77.02623546123505,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,True,0.1755758872827351,10th & G St NW,7,14,1,23,38.89824328774852,-77.02623546123505,2020-08-18 12:55:50,True,True
