station_id,Station_Name,num_bikes_available,num_docks_available,num_ebikes_available,capacity,station_lat,station_lon,last_updated_date
90,34th St & Wisconsin Ave NW,4,7,1,11,38.916441999999996,-77.0682,2020-07-22 03:48:40
91,13th St & New York Ave NW,9,12,0,23,38.900283,-77.029822,2020-07-22 03:48:40
92,8th & H St NW,25,8,1,33,38.8997,-77.02308599999999,2020-07-22 03:48:40
93,10th & Monroe St NE,3,12,2,15,38.932514000000005,-76.992889,2020-07-22 03:48:40
94,Eckington Pl & Q St NE,7,16,1,23,38.910971999999994,-77.00495,2020-07-22 03:48:40
95,6th & H St NE,15,8,0,23,38.899972,-76.998347,2020-07-22 03:48:40
96,3rd & H St NE,16,3,1,19,38.900412,-77.001949,2020-07-22 03:48:40
97,Bladensburg Rd & Benning Rd NE,11,4,0,15,38.900413,-76.982872,2020-07-22 03:48:40
98,4th & East Capitol St NE,6,5,0,11,38.889955,-77.000349,2020-07-22 03:48:40
99,Lincoln Park / 13th & East Capitol St NE ,6,19,0,25,38.890461,-76.988355,2020-07-22 03:48:40
100,Branch & Pennsylvania Ave SE,2,9,1,11,38.8692,-76.9599,2020-07-22 03:48:40
101,13th & D St NE,20,11,0,31,38.894832,-76.987633,2020-07-22 03:48:40
102,New Hampshire Ave & T St NW,10,13,1,23,38.91554,-77.03818000000001,2020-07-22 03:48:40
103,Metro Center / 12th & G St NW,26,13,0,39,38.898364,-77.027869,2020-07-22 03:48:40
104,14th & D St NW / Ronald Reagan Building,20,5,0,25,38.894514,-77.031617,2020-07-22 03:48:40
105,7th & F St NW / National Portrait Gallery,19,7,0,27,38.89728304853854,-77.0221906900406,2020-07-22 03:48:40
107,20th & O St NW / Dupont South,8,11,0,19,38.908905,-77.04478,2020-07-22 03:48:40
108,4th & D St NW / Judiciary Square,4,11,0,15,38.895344,-77.01610600000001,2020-07-22 03:48:40
109,19th St & Constitution Ave NW,20,15,0,35,38.8923,-77.0436,2020-07-22 03:48:40
110,37th & O St NW / Georgetown University,0,23,0,23,38.907740000000004,-77.071652,2020-07-22 03:48:40
111,11th & H St NE,18,1,1,19,38.899983,-76.991383,2020-07-22 03:48:40
112,25th St & Pennsylvania Ave NW,8,5,0,15,38.903827,-77.053485,2020-07-22 03:48:40
113,Columbus Circle / Union Station,43,12,0,55,38.89696,-77.00493,2020-07-22 03:48:40
114,North Capitol St & F St NW,10,13,0,23,38.897446,-77.009888,2020-07-22 03:48:40
